Data,À vista R$,À vista US$
02/09/1996,123.09,121.15
03/09/1996,119.68,117.69
04/09/1996,119.39,117.44
05/09/1996,118.42,116.38
06/09/1996,118.09,115.98
09/09/1996,117.3,115.11
10/09/1996,116.84,114.71
11/09/1996,114,111.94
12/09/1996,115.76,113.46
13/09/1996,115.97,113.84
16/09/1996,116.4,114.27
17/09/1996,118.07,115.86
18/09/1996,117.29,115.09
19/09/1996,115.93,113.76
20/09/1996,115.56,113.35
23/09/1996,115.85,113.63
24/09/1996,116.28,114.04
25/09/1996,116.21,113.9
26/09/1996,115.52,113.23
27/09/1996,115.1,112.77
30/09/1996,112.45,110.13
01/10/1996,113.83,111.48
02/10/1996,114.21,111.85
04/10/1996,116.52,114
07/10/1996,119.45,116.87
08/10/1996,118.95,116.35
09/10/1996,119.67,116.91
10/10/1996,118.97,116.16
11/10/1996,119.41,116.5
14/10/1996,117.42,114.6
15/10/1996,117.02,114.21
16/10/1996,115.75,112.96
17/10/1996,114.31,111.57
18/10/1996,113.48,110.76
21/10/1996,115.35,112.57
22/10/1996,119.32,116.09
23/10/1996,118.83,115.82
24/10/1996,116.22,113.32
25/10/1996,115.09,112.02
28/10/1996,116.12,112.79
29/10/1996,115.68,112.56
30/10/1996,115.83,112.77
31/10/1996,116.18,112.99
01/11/1996,116.39,113.28
04/11/1996,116.63,113.5
05/11/1996,117.24,114.08
06/11/1996,119.25,116.05
07/11/1996,119.71,116.38
08/11/1996,119.13,115.68
11/11/1996,115.92,112.58
12/11/1996,117.33,113.88
13/11/1996,119.88,116.36
14/11/1996,120.84,117.26
18/11/1996,120.3,116.75
19/11/1996,121.39,117.86
20/11/1996,122.86,119.21
21/11/1996,119.71,116.13
22/11/1996,120.34,116.75
25/11/1996,119.49,115.91
26/11/1996,119.96,116.28
27/11/1996,119.97,116.23
28/11/1996,119.77,115.98
29/11/1996,118.58,114.82
02/12/1996,117.87,114.15
03/12/1996,119.21,115.44
04/12/1996,119.4,115.52
05/12/1996,119.58,115.58
06/12/1996,119.58,115.58
09/12/1996,120.73,116.68
10/12/1996,121.72,117.49
11/12/1996,122.45,118.13
12/12/1996,123.81,119.27
13/12/1996,125.97,121.38
16/12/1996,126.52,121.78
17/12/1996,128.27,123.34
18/12/1996,131.96,127.11
19/12/1996,130.55,125.77
20/12/1996,131.33,126.51
23/12/1996,130.38,125.53
26/12/1996,132.94,127.98
27/12/1996,136.43,131.16
30/12/1996,137.62,132.47
02/01/1997,138.65,133.41
03/01/1997,141.29,135.9
06/01/1997,140.07,134.66
07/01/1997,144.49,138.92
08/01/1997,148.71,142.88
09/01/1997,151.82,145.81
10/01/1997,152.41,146.42
13/01/1997,151.88,145.8
14/01/1997,154.98,148.75
15/01/1997,156.8,150.45
16/01/1997,157.64,151.07
17/01/1997,158.6,151.94
20/01/1997,161.18,154.54
21/01/1997,162.13,155.43
22/01/1997,171.66,164.52
23/01/1997,178.99,171.5
24/01/1997,175.42,168.08
27/01/1997,171.18,164
28/01/1997,172.39,165.24
29/01/1997,180.27,172.43
30/01/1997,173.41,165.88
31/01/1997,170.86,163.36
03/02/1997,174.24,166.72
04/02/1997,178.1,170.25
05/02/1997,174.82,167
06/02/1997,179.14,171.1
07/02/1997,180.34,172.2
12/02/1997,199.28,190.22
13/02/1997,205.31,195.78
14/02/1997,204.9,195.27
17/02/1997,201.41,192.04
18/02/1997,192.33,183.31
19/02/1997,200.19,190.63
20/02/1997,202.13,192.46
24/02/1997,195.59,186.21
25/02/1997,202.23,192.49
26/02/1997,207.55,197.44
27/02/1997,204.32,194.41
28/02/1997,206.7,196.66
03/03/1997,212.08,201.75
04/03/1997,218.78,208.07
05/03/1997,227.09,215.74
06/03/1997,223.55,212.36
07/03/1997,218.56,207.6
10/03/1997,228.81,217.33
11/03/1997,231.88,220.1
12/03/1997,231.67,219.8
13/03/1997,219.55,208.03
14/03/1997,221.74,210.2
17/03/1997,209.77,198.14
18/03/1997,206.55,195.04
19/03/1997,211.91,199.81
20/03/1997,211.21,199.25
21/03/1997,209.53,197.45
24/03/1997,203.53,191.76
25/03/1997,212.82,200.55
26/03/1997,225.54,212.54
31/03/1997,225.96,213.25
01/04/1997,228.33,215.63
02/04/1997,228.89,216.03
03/04/1997,214.75,203.04
04/04/1997,211.37,199.75
07/04/1997,215.1,203.11
08/04/1997,214.62,202.76
09/04/1997,220.2,208.03
10/04/1997,220.36,208.16
11/04/1997,219.83,207.56
14/04/1997,220.62,208.19
15/04/1997,221.14,208.56
16/04/1997,229.95,216.77
17/04/1997,228.81,215.65
18/04/1997,230.47,217.1
22/04/1997,223.84,210.59
23/04/1997,228.52,214.95
24/04/1997,228.85,215.28
25/04/1997,226.68,213.29
28/04/1997,228.15,214.65
29/04/1997,230.44,216.74
30/04/1997,234.46,220.44
02/05/1997,234.67,220.55
05/05/1997,236.32,222.04
06/05/1997,232.4,218.27
07/05/1997,232.21,218.04
08/05/1997,234.51,220.21
09/05/1997,234.17,219.65
12/05/1997,240.42,225.39
13/05/1997,244.76,229.3
14/05/1997,244.89,229.34
15/05/1997,251.43,235.53
16/05/1997,251.18,235.34
19/05/1997,249.44,233.6
20/05/1997,247.15,231.39
21/05/1997,255.02,238.65
22/05/1997,265.94,248.66
23/05/1997,265.31,247.93
26/05/1997,265.42,247.64
27/05/1997,278.41,259.32
28/05/1997,300.35,280
30/05/1997,282.38,263.49
02/06/1997,258.31,241.28
03/06/1997,266.97,249.21
04/06/1997,267.33,249.26
05/06/1997,257.51,240.01
06/06/1997,263.12,245.28
09/06/1997,269.85,251.56
10/06/1997,250.39,233.42
11/06/1997,244.2,227.54
12/06/1997,253.04,235.72
13/06/1997,236.14,219.77
16/06/1997,230.4,214.62
17/06/1997,242.38,225.7
18/06/1997,231.55,215.44
19/06/1997,241.77,224.8
20/06/1997,240.8,223.44
23/06/1997,234.3,217.69
24/06/1997,230.68,214.18
25/06/1997,228.49,212.25
26/06/1997,216.36,200.98
27/06/1997,213.79,198.49
30/06/1997,216.52,201
01/07/1997,216.54,201.08
02/07/1997,212.75,197.52
03/07/1997,209.18,194.16
04/07/1997,207.24,192.32
07/07/1997,197.63,183.36
08/07/1997,201.62,186.85
10/07/1997,187.71,173.9
11/07/1997,193.34,179
14/07/1997,193.33,178.93
15/07/1997,188.82,174.75
16/07/1997,190.88,176.62
17/07/1997,189.09,175
18/07/1997,192.82,178.32
21/07/1997,185.57,171.64
22/07/1997,190.95,176.59
23/07/1997,199.91,184.76
24/07/1997,198.11,183.11
25/07/1997,195.52,180.69
28/07/1997,202.17,186.78
29/07/1997,202.26,186.74
30/07/1997,201.41,186
31/07/1997,198.91,183.67
01/08/1997,199.74,184.41
04/08/1997,207.72,191.79
05/08/1997,212.52,196.03
06/08/1997,209.95,193.64
07/08/1997,217.1,200.24
08/08/1997,216.91,199.81
11/08/1997,214.64,197.73
12/08/1997,209.43,192.89
13/08/1997,204.68,188.47
14/08/1997,208.7,192.17
15/08/1997,204.64,188.23
18/08/1997,205.12,188.48
19/08/1997,211.52,194.16
20/08/1997,205.36,188.62
21/08/1997,209.22,192.22
22/08/1997,207.05,189.71
25/08/1997,207.15,189.8
26/08/1997,208.55,190.92
27/08/1997,212.68,194.76
28/08/1997,214.01,196.02
29/08/1997,220.3,201.74
01/09/1997,221.28,202.68
02/09/1997,227.33,208.16
03/09/1997,235.33,215.41
04/09/1997,240.38,220.13
05/09/1997,235.64,215.95
08/09/1997,234.72,215.12
09/09/1997,231.2,211.92
10/09/1997,230.28,210.97
11/09/1997,233.12,213.54
12/09/1997,219.85,201.31
15/09/1997,215.8,197.6
16/09/1997,211.41,193.48
17/09/1997,217.74,199.18
18/09/1997,211.79,193.62
19/09/1997,217.31,198.61
22/09/1997,213.67,195.26
23/09/1997,212.34,193.94
24/09/1997,212.53,194.09
25/09/1997,208.18,190.05
26/09/1997,207.24,189.17
29/09/1997,205.74,187.74
30/09/1997,205.86,187.82
01/10/1997,204.97,186.92
02/10/1997,202.78,184.9
03/10/1997,204.12,186.09
06/10/1997,211.27,192.57
07/10/1997,204.07,185.96
08/10/1997,207.74,189.3
09/10/1997,205.72,187.38
10/10/1997,208.21,189.58
13/10/1997,207.95,189.37
14/10/1997,208.59,189.9
15/10/1997,210.38,191.41
16/10/1997,205.45,186.89
17/10/1997,199.83,181.76
20/10/1997,199.86,181.73
21/10/1997,199.78,181.65
22/10/1997,200.3,181.99
23/10/1997,198.57,180.44
24/10/1997,197.88,179.74
27/10/1997,198.16,179.41
28/10/1997,196.08,178.1
29/10/1997,197.75,179.46
30/10/1997,196.98,178.04
31/10/1997,195.09,176.92
03/11/1997,190.96,173.19
04/11/1997,189.46,171.67
05/11/1997,193.45,175.29
06/11/1997,189.87,171.5
07/11/1997,195.22,176.43
10/11/1997,199.18,180.19
11/11/1997,198.75,179.91
12/11/1997,201.4,182.08
13/11/1997,203.85,184.01
14/11/1997,204.81,185.01
17/11/1997,204.32,184.82
18/11/1997,205.46,185.82
19/11/1997,209.35,188.96
20/11/1997,204.78,184.49
21/11/1997,205.04,184.8
24/11/1997,203.97,183.99
25/11/1997,205.77,185.4
26/11/1997,207.5,186.89
27/11/1997,207.69,187.45
28/11/1997,208.06,187.57
01/12/1997,215.71,194.49
02/12/1997,220.82,199.11
03/12/1997,222.12,200.09
04/12/1997,223.59,201.41
05/12/1997,227.59,205
08/12/1997,228.61,205.66
09/12/1997,239.89,215.81
10/12/1997,247.53,222.2
11/12/1997,245.91,220.53
12/12/1997,244.97,219.41
15/12/1997,249.01,223.81
16/12/1997,232.7,208.96
17/12/1997,224.82,201.87
18/12/1997,226.06,202.98
19/12/1997,221.52,198.87
22/12/1997,217.19,194.86
23/12/1997,222.41,199.56
26/12/1997,221.09,198.33
29/12/1997,225.11,201.96
30/12/1997,225.8,202.31
02/01/1998,226.14,202.61
05/01/1998,230,206.09
06/01/1998,226.2,202.67
07/01/1998,230.03,205.92
08/01/1998,237.43,212.06
09/01/1998,238.48,213.37
12/01/1998,238.58,213.24
13/01/1998,247.7,221.53
14/01/1998,249.61,222.81
15/01/1998,250.63,223.57
16/01/1998,246.19,219.62
19/01/1998,244.52,218.48
20/01/1998,251.71,224.73
21/01/1998,252.1,225.05
22/01/1998,248.69,222.02
23/01/1998,248.64,221.78
26/01/1998,247.77,221
27/01/1998,240.28,214.13
28/01/1998,245.65,218.86
29/01/1998,248.16,220.96
30/01/1998,247,219.92
02/02/1998,248.87,221.59
03/02/1998,247.66,220.32
04/02/1998,248.22,220.81
05/02/1998,247.91,220.54
06/02/1998,245,217.76
09/02/1998,238.36,211.86
10/02/1998,233.66,207.5
11/02/1998,232.16,206.16
12/02/1998,232.18,206.14
13/02/1998,232.17,205.95
16/02/1998,230.03,204.11
17/02/1998,229.46,203.4
18/02/1998,236.67,209.79
19/02/1998,242.83,215.08
20/02/1998,241.68,214.04
25/02/1998,239.06,211.67
26/02/1998,238.65,211.29
27/02/1998,231.98,205.28
02/03/1998,228.38,202.09
03/03/1998,224.81,198.95
04/03/1998,226.28,200.06
05/03/1998,223.95,197.99
06/03/1998,219.48,194.03
09/03/1998,221.34,195.51
10/03/1998,220.43,194.71
11/03/1998,221.38,195.56
12/03/1998,215.77,190.59
13/03/1998,210.36,185.65
16/03/1998,211.09,186.3
17/03/1998,205.94,181.78
18/03/1998,200.46,176.77
19/03/1998,193.75,170.84
20/03/1998,192.01,169.29
23/03/1998,192.92,170.08
24/03/1998,193.83,170.87
25/03/1998,195.11,171.83
26/03/1998,196.06,172.67
27/03/1998,195.47,172.05
30/03/1998,196.45,172.91
31/03/1998,198.14,174.25
01/04/1998,195.19,171.66
02/04/1998,194.85,171.36
03/04/1998,191.28,168.07
06/04/1998,192.84,169.26
07/04/1998,192.36,169.01
08/04/1998,194.35,170.61
13/04/1998,200.68,176.13
14/04/1998,201.08,176.39
15/04/1998,199.79,175.18
16/04/1998,196.65,172.38
17/04/1998,197.28,172.9
20/04/1998,196.25,171.92
22/04/1998,193.5,169.36
23/04/1998,181.92,159.08
24/04/1998,178.83,156.45
27/04/1998,176.84,154.52
28/04/1998,174.98,152.77
29/04/1998,172.97,151.06
30/04/1998,168.66,147.48
04/05/1998,160.86,140.66
05/05/1998,164.76,143.96
06/05/1998,160.26,140
07/05/1998,159.86,139.64
08/05/1998,160.65,140.29
11/05/1998,160.91,140.46
12/05/1998,160.61,140.13
13/05/1998,160.49,139.86
14/05/1998,162.89,142.06
15/05/1998,161.78,141.09
18/05/1998,162.86,141.74
19/05/1998,167.76,146.13
20/05/1998,168.15,146.4
21/05/1998,166.55,144.84
22/05/1998,167.93,145.81
25/05/1998,167.43,145.3
26/05/1998,162,140.44
27/05/1998,160.21,139.21
28/05/1998,160.34,139.46
29/05/1998,158.89,138.12
01/06/1998,150.97,131.08
02/06/1998,153.14,133.04
03/06/1998,154.55,134.24
04/06/1998,154.21,133.97
05/06/1998,152.75,132.59
08/06/1998,145.31,126.06
09/06/1998,146.88,127.32
10/06/1998,146.76,127.21
12/06/1998,144.89,125.5
15/06/1998,142.57,123.54
16/06/1998,140.38,121.59
17/06/1998,139.68,120.92
18/06/1998,137.17,118.71
19/06/1998,132.77,114.97
22/06/1998,129.7,112.3
23/06/1998,128.97,111.68
24/06/1998,127.17,110.03
25/06/1998,128.55,111.24
26/06/1998,127.38,110.15
29/06/1998,126.02,108.99
